PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
J52kS,2kn4/pp1n1r2/2p1P3/2Pp2Q1/3P1N2/4q3/6PP/5R1K b - - 2 34,f7f4 e6d7 c8d7 g5f4 e3f4 f1f4,1669,77,77,73,advancedPawn crushing endgame intermezzo long,https://lichess.org/OxlzgAr1/black#68,,
LWcyM,r1b5/pppn2kp/6p1/2P5/3Q1pPq/2N5/PP5P/2K3NR b - - 1 21,d7f6 g1f3 h4g4 c3e4,1958,384,0,6,crushing middlegame pin short,https://lichess.org/rrpV5BgR/black#42,,
pryng,Q4bk1/7p/4N1p1/8/3p4/5p1P/4RPPK/1q6 b - - 2 40,f3e2 a8f8,462,105,97,996,endgame mate mateIn1 oneMove,https://lichess.org/6G4wY7AT/black#80,,
Q2qPQ,4r1k1/p4pp1/3p4/1Q1Pr2p/P5q1/8/5PPP/R2R2K1 w - - 0 30,b5b7 g4d1 a1d1 e5e1 d1e1 e8e1,1286,76,98,1213,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/MCDMWFC4#59,,
ylFmq,4r1k1/p2r1p1p/1pb2bp1/4p2q/3P4/2P2NB1/PP1Q1PPP/R3R1K1 w - - 0 19,f3e5 e8e5 g3e5 f6e5,2608,93,91,317,advantage middlegame short,https://lichess.org/BoohNWRs#37,,
yTWtN,5rQ1/pp1bN2k/2p1p2r/2P2nQ1/2PP4/8/P3K1Pq/R4R2 b - - 0 29,f8g8 g5g8,781,112,93,933,mate mateIn1 middlegame oneMove,https://lichess.org/dtBMZ23m/black#58,,
snmzN,1rb1qrk1/p2nb1pp/2Q1p3/2p1Pp2/N1Pp1P2/BP1P3P/P2N2P1/R4RK1 w - - 1 23,a3c5 d7c5 c6e8 f8e8 a4c5 e7c5,1879,75,83,95,advantage long middlegame,https://lichess.org/aL5KQnEr#45,,
NTlzf,1k1r1r2/pp2BQ1p/6pq/3p4/5n2/1PP2P2/P2N1P1P/2R2RK1 w - - 3 23,e7f8 h6g5 g1h1 g5g2,1623,75,96,2222,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/79j32i2C#45,,
a9Lku,r7/8/2pR3p/2P1pkp1/pp6/1r3PP1/R3K2P/8 b - - 1 45,a4a3 g3g4 f5f4 d6f6,1187,77,83,190,endgame mate mateIn2 rookEndgame short,https://lichess.org/PBxDuQYZ/black#90,,
W6lnA,8/6pp/8/1Pk5/3p1P1P/3K4/8/8 b - - 0 50,c5b6 d3d4 b6b5 d4e5 b5c5 h4h5 c5c6 e5e6 g7g6 h5g6,2920,111,80,365,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/47jl7usB/black#100,,
TjGyh,1r3r1k/1b2Np2/2Qp1P1p/1p6/pb1P2qP/8/PPB2PP1/3R1K1R w - - 3 26,c2f5 g4d1,862,79,86,285,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/qtpah7zK#51,,
d99Y7,r4r1k/p3B1p1/2p4p/1p6/2Q2pq1/8/PPP2PPP/R4RK1 w - - 0 24,c4d3 f4f3 d3f3 f8f3,1162,77,98,866,advantage middlegame pin short,https://lichess.org/JMKlJklA#47,,
LUWF6,r6r/p1p1kppp/1bBp4/3b4/2P5/6P1/PP2Nq1P/R1BQ3K w - - 0 16,c4d5 f2f3,1090,81,71,55,mate mateIn1 middlegame oneMove,https://lichess.org/NHS42j6x#31,English_Opening English_Opening_Kings_English_Variation,
IbYXd,rn2k3/ppR2pp1/4p3/4N3/3P4/4P3/PP3nqr/3QKR2 b q - 0 15,f2d1 c7c8 e8e7 f1f7 e7d6 c8d8 b8d7 f7d7,2179,78,96,3840,hookMate mate mateIn4 middlegame veryLong,https://lichess.org/rdfOrDJj/black#30,Queens_Pawn_Game Queens_Pawn_Game_Symmetrical_Variation,
dntyH,r1bqk2r/ppp2ppp/2n1p3/3n4/2BP4/B4N2/P1Q2PPP/3R1RK1 b kq - 3 11,c6b4 a3b4 d5b4 c2a4 c7c6 a4b4,1768,76,95,2966,advantage fork long middlegame,https://lichess.org/XH4anq2F/black#22,Queens_Gambit_Accepted Queens_Gambit_Accepted_Rosenthal_Variation,
PlKK2,q5k1/p4pb1/Qn5p/2B3p1/P1pn4/2N2rP1/1P4KP/3R1R2 w - - 0 25,c5d4 f3c3 g2g1 g7d4 d1d4 c3c2 f1f2 c2c1,2375,99,89,217,crushing discoveredAttack discoveredCheck intermezzo middlegame veryLong,https://lichess.org/tmu3NMUP#49,,
vjapA,r3kb1r/pp1n1ppp/1qp1pn2/6B1/2PPp1Q1/P1N3N1/1P3PPP/R3KB1R w KQkq - 1 10,g5f6 b6b2 c3d1 b2a1,2054,83,89,966,advantage fork middlegame short,https://lichess.org/nYyhGEAi#19,Slav_Defense Slav_Defense_Diemer_Gambit,
iOyQZ,r6r/2p3p1/2k1Q1p1/3p3p/8/1qP5/PP4P1/K2R3R b - - 0 30,c6c5 d1d5 b3d5 b2b4 c5b5 e6d5,2059,79,67,89,crushing deflection endgame long sacrifice,https://lichess.org/voeFiRIH/black#60,,
rAxYd,8/p6p/1p4p1/4k3/4p3/P3P3/1P3KPP/8 w - - 2 31,h2h3 e5d5 b2b3 a7a5 a3a4 d5c5 f2g3 c5b4 g3f4 b4b3,2415,81,91,1626,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/mUozREDj#61,,
XsMo0,5rk1/p5p1/8/1p1n2B1/2p3bP/2P3P1/PPB1r1P1/R5KR w - - 4 28,c2d1 e2e1 g1h2 e1h1 h2h1 f8f1,1398,74,86,805,attraction crushing kingsideAttack long middlegame,https://lichess.org/ry8QLrxr#55,,
nprbP,5rk1/Q1p2ppp/8/4B3/8/2PqP3/P4PPP/Rr4KR w - - 3 17,a1b1 d3b1,784,79,100,96,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/ll2s083O#33,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense,
8iqvj,1k4r1/1ppR4/p4q2/8/5p2/5QP1/PP1R2K1/8 w - - 0 33,f3f4 f6f4 d7d8 b8a7,1703,130,88,38,crushing endgame pin short,https://lichess.org/m4OVLefk#65,,
0czAu,8/1p3Qpk/p2q1p2/7P/3p2P1/1P3P2/P5K1/8 b - - 7 67,d4d3 h5h6 d6e7 f7e7,2031,81,92,5142,crushing endgame master pin queenEndgame short,https://lichess.org/pYyHu4RR/black#134,,
hd1zg,8/8/8/4k2p/P7/5p2/2P2P2/2K5 w - - 0 40,c1d1 h5h4 d1d2 h4h3 d2e3 h3h2,604,90,99,1073,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/lVfZhFRi#79,,
uSwXF,2b5/1p3p1k/p2q2p1/3p2Bp/4r3/1P5P/P2Q1PP1/3R2K1 w - - 2 26,d2d5 e4e1 d1e1 d6d5,1224,77,52,123,crushing deflection endgame short,https://lichess.org/8mS6hZXo#51,,
Vuysh,3q1rk1/1b3p2/p3p1p1/1p1pP1PB/1P1P3Q/P1r4P/1n6/R4R1K b - - 5 28,c3c2 f1f6 d8e8 a1f1 b2d3 h5g6 f7g6 f6f8 e8f8 f1f8,2542,94,84,107,advantage clearance fork middlegame quietMove veryLong,https://lichess.org/gk13KZtv/black#56,,
lsAsa,3r2k1/pq2bpp1/1p2p2p/2prP3/5P2/6P1/PPPNQ2P/R2R2K1 w - - 5 20,d2e4 d5d1 a1d1 d8d1 e2d1 b7e4,802,87,87,249,crushing kingsideAttack long middlegame,https://lichess.org/Wr1yPFIj#39,,
tC3jc,1R5R/6r1/7k/p3Kpp1/4p3/8/P4r1P/8 b - - 3 47,g7h7 b8b6 h6h5 h8h7,1119,96,91,453,crushing deflection endgame master rookEndgame short,https://lichess.org/JZhNIhHV/black#94,,
od8Hf,8/7p/2Bk4/p2P1pp1/P4N2/6PK/2r4P/8 w - - 0 41,f4e6 c2c6 d5c6 d6e6 g3g4 f5f4 c6c7 e6d7 c7c8r d7c8,2003,77,92,4709,crushing deflection endgame quietMove veryLong,https://lichess.org/hTotfvyF#81,,
pviCU,8/3r1k1p/5p2/Q7/PpR2n2/5P1P/1P4r1/2Rq3K w - - 2 39,c1d1 d7d1,707,83,83,98,endgame mate mateIn1 oneMove,https://lichess.org/Q3j6Myaa#77,,
O6aei,3r1rk1/1p3ppp/p1bPp1q1/8/1PB4Q/P7/2P2PPP/3RR1K1 w - - 3 20,c4d3 g6g2,788,92,88,679,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/e8ajrzeb#39,,
PRxkk,2b2k2/5rr1/1p5p/pP1pPpq1/P1p5/R1P1NR2/5QPP/6K1 w - - 1 34,e3d5 g5c1 f2f1 c1a3,1396,147,82,22,advantage fork middlegame short,https://lichess.org/zorUwxeI#67,,
wLuZA,2r3k1/R4ppp/2p5/1rNp1b2/8/1P2qP1P/PQ4P1/2R4K w - - 1 27,a7a4 b5c5 c1c5 e3c5,1219,151,0,8,crushing middlegame short,https://lichess.org/Z1vkmHsP#53,,
9DPjE,2k4r/pp1n1pp1/2pbp3/8/2P1B2q/6N1/PP2QPP1/R4RK1 w - - 3 20,f1d1 h4h2 g1f1 h2h1 g3h1 h8h1,1629,82,94,10803,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/y8xmmFH3#39,,
f5dhT,3k4/p5Rp/2PBp3/8/8/6PP/r4r2/6K1 b - - 0 32,d8e8 g7g8 e8f7 g8f8 f7g6 f8f2,1918,76,91,2037,crushing endgame exposedKing long,https://lichess.org/tqRP98No/black#64,,
5RVWa,R7/5p1k/3qp2p/3p2p1/3P3P/2Pb2N1/2r2PP1/Q5K1 w - - 0 28,h4g5 d6f4 g5g6 d3g6,2331,104,89,1164,crushing endgame short,https://lichess.org/1YTuAW41#55,,
SfOoA,3r1r2/5pk1/p1b5/1p2pP2/1Pp1N1P1/P1Pn1K2/B5P1/3R1R2 w - - 2 28,a2b1 c6e4 f3e4 d3f2 f1f2 d8d1,1765,78,92,2698,advantage attraction deflection discoveredAttack long middlegame,https://lichess.org/HEUUOaA2#55,,
NZc1m,rnbq1rk1/pp2nppp/4p3/2b1P3/2p5/3B1N2/PP3PPP/RNBQ1RK1 w - - 0 9,d3h7 g8h7 f3g5 h7g8,1279,82,91,1668,crushing defensiveMove hangingPiece opening short,https://lichess.org/19yQNnE0#17,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation,
scesQ,3r4/pp5p/3r2pk/2pB4/2PnP3/2Q4P/PP3PP1/6K1 w - - 3 28,e4e5 d4e2 g1f1 e2c3,836,83,86,154,crushing endgame fork short,https://lichess.org/veuajvJh#55,,
RifFC,1r3k2/3n1p1p/p2b2p1/2p5/2P4P/2BB1K2/P1P2P2/4R3 b - - 0 25,b8e8 c3g7 f8g7 e1e8,1213,86,93,239,crushing deflection endgame master short,https://lichess.org/gnyaKkcA/black#50,,
NblOA,3k4/pQ6/2p2q1p/2p1bP2/3p4/3P4/PPP3r1/2KR3R w - - 2 27,d1g1 f6g5 c1b1 g2g1 h1g1 g5g1,1397,81,92,2576,backRankMate endgame long master mate mateIn3,https://lichess.org/zXxZ62bu#53,,
MGeCO,8/8/1p4p1/2p2k1p/5P2/1P2K1PP/8/8 w - - 0 37,e3d3 h5h4 g3h4 f5f4 d3c4 f4g3,2163,76,85,132,crushing deflection endgame long pawnEndgame,https://lichess.org/7iNuLSCa#73,,
tw8uP,8/3n2k1/7p/2p1p1pK/2PpB3/3P1PPP/8/8 w - - 1 44,h3h4 d7f6,747,112,93,1041,endgame mate mateIn1 oneMove,https://lichess.org/QgPyprn3#87,,
ycehY,2rqkb1r/pp3ppp/2b1pn2/8/1n2P3/2N2N2/PP1P1PPP/RQB1KB1R w KQk - 7 12,a2a3 c6e4 f1b5 e8e7 c3e4 b4c2 e1e2 f6e4,2314,86,86,76,advantage fork interference intermezzo opening sacrifice veryLong,https://lichess.org/nF1IVfTe#23,French_Defense French_Defense_Two_Knights_Variation,
tXeth,r1b2n1k/ppp3pp/1q6/8/1bBP4/2N5/PPP3PP/R1BQ2K1 w - - 0 16,d1f3 b6d4 c1e3 d4c4,1079,84,94,5998,advantage fork middlegame short,https://lichess.org/oGDQV4dL#31,Vienna_Game Vienna_Game_Vienna_Gambit,
PTcEa,rr4k1/1Qp3pp/p3q3/5pn1/3P4/4P3/PPPN1PP1/2KR3R w - - 0 21,d4d5 e6f6 b7b3 b8b3,2099,74,85,400,advantage middlegame short,https://lichess.org/91GCgN5n#41,,
G3pfO,1k1r4/1p3Q2/pq2p3/3p4/N7/b2P4/1P3PrP/1KR4R b - - 3 24,b6b4 f7c7 b8a7 c7d8,1211,80,88,454,advantage fork middlegame short,https://lichess.org/ZycFWkSJ/black#48,,
CmVAI,5kr1/5p2/3p4/n3pPq1/p3Q2p/2PB1PN1/Pr4PP/3R1RK1 w - - 0 32,g3e2 g5g2,991,110,86,26,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/7vZEuIMY#63,,
i7DPz,r1b2rk1/5ppp/p4n2/1p1Nq1B1/1Pn5/4P3/P3BPPP/R2Q1RK1 w - - 1 17,f2f4 e5d5 g5f6 d5d1 f1d1 g7f6,1824,77,92,1941,crushing long middlegame,https://lichess.org/0RRbGnYJ#33,Queens_Gambit_Declined Queens_Gambit_Declined_Semi-Tarrasch_Defense,
KUWI0,4r2k/6bp/1q4p1/2r1p3/4Q1N1/ppPP3P/6P1/BRR4K w - - 0 40,e4b4 b6b4 c3b4 c5c1,1508,75,86,453,crushing middlegame short,https://lichess.org/L97KyJGp#79,,
4q4LW,5rk1/1R3ppp/1pNN4/3np3/4P3/8/rP3PPP/5K2 b - - 0 23,d5f4 c6e7 g8h8 d6f7 f8f7 b7b8 f7f8 b8f8,1254,75,96,7610,backRankMate deflection endgame mate mateIn4 sacrifice veryLong,https://lichess.org/nIxk4G9V/black#46,,
